,Values
RMSE - Baseline,3.459906771310345
R2 - Baseline,0.8655208500164894
Linear RMSE - Baseline,1.988886217653806
Linear R2 - Baseline,-7.572809187520802
SGD RMSE - Baseline,140071154694654.31
SGD R2 - Baseline,-4.252072868784686e+28
Linear RMSE - Only Headlines,2.203531387652022
Linear R2 - Only Headlines,-9.523053128200061
SGD RMSE - Only Headlines,140072195735792.38
SGD R2 - Only Headlines,-4.252136073792709e+28
XGB RMSE - Only Headlines,7.180850431362751
XGB R2 - Only Headlines,-110.7519327072742
Linear RMSE - Only Twitter,1.9621254167958802
Linear R2 - Only Twitter,-7.3436640237708986
SGD RMSE - Only Twitter,140016097628874.02
SGD R2 - Only Twitter,-4.248730843846212e+28
XGB RMSE - Only Twitter,7.046209920870233
XGB R2 - Only Twitter,-106.60053630801744
Linear RMSE - All,2.2152421387963552
Linear R2 - All,-9.635200674634323
SGD RMSE - All,140017138631902.03
SGD R2 - All,-4.248794021697767e+28
XGB RMSE - All,7.502005379681994
XGB R2 - All,-120.9714041115589
RF RMSE - All,6.237013554387863
RF R2 - All,-83.30564523167736
