,Values
RMSE - Baseline,3.459906771310345
R2 - Baseline,0.8655208500164894
Linear RMSE - Baseline,1.988886217653806
Linear R2 - Baseline,-7.572809187520802
SGD RMSE - Baseline,140071154694654.31
SGD R2 - Baseline,-4.252072868784686e+28
Linear RMSE - Only Headlines,2.0358328977603066
Linear R2 - Only Headlines,-7.982299605030727
SGD RMSE - Only Headlines,140072978038297.77
SGD R2 - Only Headlines,-4.252183570242314e+28
Linear RMSE - Only Twitter,1.9155719364050339
Linear R2 - Only Twitter,-6.9524365494187
SGD RMSE - Only Twitter,139095297224764.3
SGD R2 - Only Twitter,-4.193031978364364e+28
Linear RMSE - All,1.9687923677684738
Linear R2 - All,-7.40046090683917
SGD RMSE - All,139095950406181.3
SGD R2 - All,-4.193071358804313e+28
XGB RMSE - All,5.560873595383553
XGB R2 - All,-66.01767040434594
RF RMSE - All,6.181891938205601
RF R2 - All,-81.82207351318041
